epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,307.074,0.51106,0.79835,0.27393,0.8789,0,0.99072,1,0.995,0.89304,0.99072,1,0.995,0.85865,0.52663,1.05273,0.20795,0.83799,0,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,313.108,0.48436,0.75086,0.28543,0.86085,0,1,1,0.995,0.9075,1,1,0.995,0.88073,0.52318,1.18269,0.21186,0.838,0,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,319.139,0.49979,0.73436,0.26558,0.873,0,1,1,0.995,0.88065,1,1,0.995,0.86555,0.58968,1.2261,0.22309,0.84727,0,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,324.749,0.48648,0.73587,0.26363,0.87276,0,0.99086,1,0.995,0.90075,0.99086,1,0.995,0.90475,0.56461,1.09518,0.19759,0.83537,0,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,330.737,0.47134,0.72195,0.27026,0.85513,0,0.99083,1,0.995,0.882,0.99083,1,0.995,0.86525,0.68989,1.20346,0.24824,0.87331,0,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,336.446,0.49045,0.74725,0.27544,0.85896,0,0.99086,1,0.995,0.882,0.99086,1,0.995,0.86525,0.64785,1.24424,0.23322,0.86648,0,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,342.524,0.45312,0.7459,0.24957,0.85915,0,1,1,0.995,0.8904,1,1,0.995,0.8904,0.54663,1.21424,0.21977,0.84471,0,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,348.26,0.45511,0.69004,0.25606,0.8534,0,1,1,0.995,0.9035,1,1,0.995,0.9035,0.51602,1.21935,0.21317,0.8282,0,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,354.227,0.47534,0.67479,0.2481,0.86594,0,0.99072,1,0.995,0.88756,0.99072,1,0.995,0.88756,0.44783,1.14262,0.17857,0.81483,0,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,359.971,0.47164,0.70386,0.26469,0.8471,0,0.99083,1,0.995,0.912,0.99083,1,0.995,0.912,0.45472,1.11129,0.18208,0.81874,0,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
